chapter	verse	consонantal
1	1	כל חכמה מיהוה ועמו היא לעולמים
1	2	חול ימים ונטפי מטר וימות עולם מי ימנה
1	3	רום שמים ורחב ארץ ועמק תהום מי יחקר
1	4	מכל אלה רבה החכמה וגברה האמת מעולם
1	5	שרש החכמה למי נגלה ומערמיה מי ידע
1	6	אחד הוא נורא בלבדו אלהים מושל על כל אוצריה
1	7	הוא בחנה וראה וספרה ונתנה לאהביו
1	8	אל כל בשר כרצונו נתנה ויתנה לאהביו
1	11	יראת יהוה כבוד ויקר וגדלה ועטרת תפארת
1	12	יראת יהוה משמחת לב ונותנת שמחה וחן וארך ימים
1	13	ירא יהוה תיטב אחריתו ובאחרית ימיו יתברך
1	14	ראשית חכמה יראת יהוה ועם נאמנים נוצרה בבטן
1	15	עם אנשי אמת מעולם הוכנה ועם זרעם נאמן חסדו
1	16	ראשית חכמה יראת יהוה ומרבה שלום וחיים ומרפא
1	17	כל אוצריה תמלא חמדה ואסמיה בתבואתה
1	18	ראשית חכמה יראת יהוה ותרוה ברב תבואתה
1	19	מטה עז היא ומשענה תהלה וכבוד עולם לכל ההולך אחריה
1	20	שרשיה לעולם וענפיה ארך ימים
1	21	אשרי אנוש יהגה בה וטובה היא לו מכל אוצר
1	22	אשרי אנוש יקרב אליה ופקודיה ישתעשע
1	23	עטרת עולם תשית עליו וזכות עולמים בין קדושים
1	24	ישמח בה ותשמח בו ובל תעזבהו לעולם ועד
1	25	מלאכי אלהים ישמחו בה ויספרו כל תהלת יהוה
1	26	הספר הזה כלו מלא ממנה אשרי אנוש ישמע ויעשה
1	27	שמעוני יראי אלהים והאזינו והתבוננו לדברי מי החפץ לרשת אותה נחלת עולם ושמחה רבה
1	28	כל דברי שמע ועשה ותכתב בספר החיים
1	29	אהב יראת יהוה ואשר בה לבך ואל תירא
1	30	קרב ואל תאחר ותמצא חיים לנפשך וכאשר תהיה קרוב כגבור וכאיש חיל
1	31	בני אל תכזב ביראת יהוה ואל תקרב אליו בלב ולב
1	32	אל תתכבד בה לעין אדם ובשפתיך הזהר מאד
1	33	אל תשנה מאמרו ואל תירא ואל תביא קללה על נפשך
1	34	פן יגלה יהוה מסתריך ובתוך קהל יפילך
1	35	כי התגאית ביראת אלהים ותוך לבך מלא נקלה
2	1	בני אם תקרב לעבוד את יהוה הכן נפשך לכל נסיון
2	2	הכן לבך והתחזק ואל תבהל ביום אד
2	3	הדבק בו ואל תסור למען תגדל באחריתך
2	4	כל הבא עליך קבל ובשברך הארך רוח
2	5	כי באש יבחן זהב ובני אדם בכור עני
2	6	האמן בו והוא יחזיק בך ישר ארחותיך וקוה אליו
2	7	יראי יהוה חכו לחסדו ואל תטו פן תפלו
2	8	יראי יהוה האמינו בו והוא לא ילין שכרכם
2	9	יראי יהוה קוו לטוב ולשמחת עולם וחסד
2	10	הביטו לדורות ראשונים מי האמין ביהוה ויבוש י או מי בטח בו ונעזב או מי קרא אליו ולא נענה
2	11	כי רחום וחנון יהוה וסולח לעונות ומושיע בעת צרה
2	12	אוי לרכי לב ורפה ידים ולרשע עקש דרכים
2	13	אוי ללב אשר לא יאמין ואף הוא לא יקום
2	14	אוי לכם אובדי תקוה ומה תעשו בפקוד יהוה
2	15	יראי יהוה לא ימרו בדרכיו ואוהביו יצרו ארחותיו
2	16	יראי יהוה יבקשו רצונו ואהביו ילמדו תורתו
2	17	יראי יהוה יכינו לבבם ולפניו יכניעו רוחם
2	18	נפל ביד יהוה ולא ביד אדם כי כגדלו כן חסדו
3	1	שמעו בנים משפט אב ועשו למען תחיו
3	2	כי יהוה כבד האב לפני הבנים ומשפט האם קים על ילדיה
3	3	מכבד אב תכפר חטאתו וגונז אוצר מכבד אמו
3	5	מכבד אביו ישמח בבנו ותפלתו ישמע ויענה
3	6	מכבד אביו ירבו ימיו וגמול אלהים על מכבד אמו
3	8	בני במאמר ובמעשה כבד אביך עבור ישיגוך כל ברכות
3	9	ברכת אב תיסד שרש וקללת אם תנתש נטע
3	10	אל תתכבד בקלון אביך כי לא כבוד הוא לך
3	11	כבוד איש כבוד אביו ומרבה חטא מקלל אמו
3	12	בני התחזק בכבוד אביך ואל תעזבהו כל ימי חייך
3	13	וגם איש יחסר מדעו עזב לו ואל תכלים אותו כל ימי חייו
3	14	צדקת אב לא תמחה ותמור חטאת היא תנתע
3	15	ביום צרה תזכר לך כחם על כפור להשבית עוניך
3	16	כי מזיד בוזה אביו ומכעיס בוראו מקלל אמו
3	17	בני בעשרך התהלך בענוה ותאהב מנותן מתנות
3	18	מעט נפשך מכל גדולה ולפני אל תמצא רחמים
3	20	כי רבים רחמי אלהים ולענוים יגלה סודו
3	21	פלאות ממך אל תדרוש ומכסה ממך אל תחקור
3	22	במה שהורשית התבונן ואין לך עסק בנסתרות
3	23	ביותר ממך אל תמר כי רב ממך הראית
3	24	כי רבים עשתוני בני אדם ודמיונות רעות מתעות
3	25	לב כבד תבאש אחריתו ואוהב טובות ינהג בהם
3	26	לב כבד ירבו מכאביו ומתהולל מוסיף עון על עון
3	27	באין אישון יחסר אור ובאין דעת תחסר חכמה
3	28	אל תרוץ לרפאות מכת לץ כי אין לה רפואה כי מנטע רע נטעו
3	29	לב חכם יבין משלי חכמים ואזן מקשבת לחכמה תשמח
3	30	אש לוהטת יכבו מים כן צדקה תכפר חטאת
3	31	פועל טוב יקראנו בדרכיו ובעת מוטו ימצא משען
4	1	בני אל תלעג לחיי עני ואל תדאיב נפש עני ומר נפש
4	2	דווה נפש חסרה אל תפוח ואל תתעלם ממדכדך נפש
4	3	אל תחמיר מעי דך וקרב עני אל תכאיב
4	4	אל תמנע מתן ממסכנך ולא תבזה שאלות דל ולא תתן לו מקום לקללך
4	5	צועק מר רוח בכאב נפשו ובקול צעקתו ישמע צורו
4	6	האהב נפשך לעדה ולשלטון עוד האכף ראש
4	7	הט לעני אזנך והשיבהו שלום בענוה
4	8	הושע מוצק ממציקיו ואל תקוץ רוחך במשפט ישר
4	9	היה כאב ליתומים ותמור בעל לאלמנות
4	10	ואל יקראך בן ויחנך ויצילך משחת
4	11	חכמות למדה בניה ותעיד לכל מבינים בה
4	12	אהביה אהבו חיים ומבקשיה יפיקו רצון מיהוה
4	13	ותמכיה ימצאו כבוד מיהוה ויחנו בברכת יהוה
4	14	משרתי קדש משרתיה ואלהים בית מושבה אהב
